"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/07/28","東京電力","-7200","みずほ銀行","水道・光熱費","電気代","","0","t-0710"
"1","2026/07/22","スターバックス","-680","三井住友カード","食費","カフェ","","0","t-0709"
"1","2026/08/01","セブンイレブン","-980","三井住友カード","食費","食料品","","0","t-0801"
"1","2026/08/03","Amazon.co.jp","-13200","三井住友カード","趣味・娯楽","その他","ポケカ 強化拡張パック BOX","0","t-0802"
"1","2026/08/06","スーパーマルエツ","-11200","三井住友カード","食費","食料品","","0","t-0803"
"1","2026/08/09","焼肉きんぐ","-9800","三井住友カード","食費","外食","","0","t-0804"
"1","2026/08/10","給与","320000","みずほ銀行","収入","給与","","0","t-0805"
"1","2026/08/14","JR東日本","-2640","Suica","交通費","電車","","0","t-0806"
"1","2026/08/15","家賃","-98000","みずほ銀行","住宅","家賃","","0","t-0807"
"1","2026/08/18","カード引き落とし","-61000","みずほ銀行","その他","振替","","1","t-0808"
"1","2026/08/21","ポケモンセンタートウキョー","-6600","三井住友カード","趣味・娯楽","その他","","0","t-0809"
"1","2026/08/25","東京ガス","-4100","みずほ銀行","水道・光熱費","ガス代","","0","t-0810"
"1","2026/08/27","ドラッグストア","-3280","三井住友カード","日用品","日用雑貨","","0","t-0811"
"1","2026/08/29","スーパーマルエツ","-7650","三井住友カード","食費","食料品","","0","t-0812"
